ring	points_in	points_out	area_km2	tolerance_km2	kept_for	west	south	east	north
562	154	7	1855	154.61	airport	146.572	-2.228	147.423	-1.947
563	246	9	11756	600.00	area	105.154	-3.094	106.833	-1.526
564	106	8	2613	217.76	airport	135.370	-1.223	136.196	-0.636
565	298	7	3191	265.89	area	130.232	-0.442	131.297	-0.004
566	135	6	4141	345.10	area	97.064	0.573	97.939	1.545
567	61	6	1241	103.41	airport	121.814	6.405	122.335	6.741
568	103	6	3721	310.07	area	123.809	9.607	124.589	10.144
569	122	6	754	62.86	airport	125.497	9.881	125.715	10.456
570	124	6	933	77.76	airport	119.885	12.001	120.340	12.323
571	205	6	3159	263.25	area	123.181	11.726	124.055	12.595
572	54	7	692	57.67	airport	121.921	12.156	122.136	12.642
573	90	8	1452	120.98	airport	124.026	13.530	124.418	14.092
574	43	5	3254	271.13	area	-19.357	79.686	-17.277	80.091
575	110	5	3424	285.36	area	-67.707	-80.086	-65.463	-79.526
576	70	6	3562	296.86	area	-76.126	-73.615	-74.219	-72.820
577	53	9	632	52.67	airport	167.808	-21.658	168.137	-21.336
578	93	10	1090	90.81	airport	167.021	-21.179	167.391	-20.672
579	93	8	849	70.72	airport	168.175	-17.823	168.585	-17.534
580	44	5	666	55.54	airport	167.921	-16.362	168.288	-16.080
581	55	7	1107	92.27	airport	-172.044	-14.052	-171.441	-13.805
582	72	7	873	72.73	airport	120.872	5.859	121.421	6.097
583	99	6	3555	296.25	area	53.396	12.335	54.471	12.701
584	90	10	1293	107.78	airport	55.298	26.544	56.194	27.002
585	210	15	537	44.76	airport	-80.026	55.825	-79.052	56.544
586	37	5	4253	354.40	area	-163.729	-81.599	-160.571	-81.270
587	729	11	65798	600.00	area	79.732	5.924	81.881	9.530
588	671	9	32034	600.00	area	108.627	18.169	110.997	20.011
589	406	11	32732	600.00	area	120.059	21.905	122.005	25.271
590	431	18	1152	96.02	airport	-132.566	52.124	-131.024	53.252
591	393	15	2289	190.74	airport	-133.144	53.157	-131.668	54.165
592	653	16	1973	164.39	airport	-133.615	54.699	-131.949	56.353
593	338	15	970	80.87	airport	-135.675	56.175	-134.616	57.554
594	723	21	2020	168.36	airport	-154.727	56.741	-152.147	58.010
595	421	17	1039	86.62	airport	-136.431	57.394	-134.820	58.274
596	150	7	4781	398.43	area	-61.929	10.056	-60.907	10.837
597	236	5	8366	600.00	area	-67.112	17.950	-65.629	18.523
598	254	8	10517	600.00	area	-78.375	17.717	-76.188	18.519
599	157	8	1278	106.51	airport	-77.942	23.731	-77.517	24.303
600	172	8	3234	269.48	area	-78.443	24.289	-77.728	25.185
601	878	13	15594	600.00	area	-128.320	48.313	-123.399	50.870
602	119	7	4282	356.87	area	-77.323	67.243	-75.065	68.263
603	193	7	12492	600.00	area	-80.806	72.817	-76.243	73.720
604	154	6	10598	600.00	area	-113.241	77.326	-109.686	78.104
605	226	5	12115	600.00	area	-98.149	77.973	-94.828	78.819
606	390	9	6501	541.77	area	23.518	34.932	26.241	35.586
607	202	10	7307	600.00	area	32.287	34.657	34.573	35.644
608	357	9	19189	600.00	area	12.427	36.659	15.513	38.298
609	581	10	16851	600.00	area	8.233	38.878	9.827	41.263
610	401	7	5783	481.94	area	8.549	41.373	9.553	42.832
611	475	14	2229	185.79	airport	10.960	54.694	12.622	56.129
612	436	12	14413	600.00	area	116.763	-9.107	119.042	-8.114
613	380	13	14240	600.00	area	119.804	-8.926	122.951	-8.203
614	105	9	1800	149.98	airport	-156.666	20.587	-156.002	21.003
615	56	6	643	53.60	airport	-157.273	21.053	-156.706	21.222
616	149	7	1460	121.65	airport	-158.279	21.255	-157.647	21.705
617	101	6	1356	112.97	airport	-159.760	21.869	-159.293	22.235
618	74	6	6520	543.30	area	140.493	73.177	143.407	73.917
619	168	6	9150	600.00	area	146.072	74.804	150.859	75.421
620	171	8	11474	600.00	area	20.880	77.264	24.425	78.256
621	106	5	3388	282.34	area	20.183	78.200	22.271	78.589
622	122	5	3825	318.73	area	45.095	80.440	48.275	80.831
623	268	5	8739	600.00	area	46.650	80.070	49.631	80.640
624	157	8	5304	442.03	area	159.599	-9.937	160.785	-9.248
